participant_id,session_id,participant_session_key,xdf_filename,logical_emg_channel,channel_index,channel_label,channel_unit,sample_count,finite_count,nan_count,posinf_count,neginf_count,finite_fraction,mean,std,median,mad,minimum,maximum,robust_range_p01_p99,unique_count,longest_equal_run,longest_equal_run_fraction,extreme_value_fraction,exact_flatline,low_variability_warning
P015,S001,P015_S001,sub-P015_ses-S001_task-Default_run-001_eeg.xdf,1,2,EMG_CH1_24BIT,,590373,590373,0,0,0,1.0,201.01081155503653,8.219930283321636,201.6666717529297,0.0,36.1959228515625,201.6666717529297,4.565740966796881,6275,459996,0.7791616486526315,0.989355881789987,False,False
P015,S001,P015_S001,sub-P015_ses-S001_task-Default_run-001_eeg.xdf,2,3,EMG_CH2_24BIT,,590373,590373,0,0,0,1.0,-201.66668701171875,0.0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,590373,1.0,1.0,True,False
P019,S001,P019_S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,1,2,EMG_CH1_24BIT,,53097,0,53097,0,0,0.0,,,,,,,,0,0,,,False,False
P019,S001,P019_S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,2,3,EMG_CH2_24BIT,,53097,0,53097,0,0,0.0,,,,,,,,0,0,,,False,False
P020,S001,P020_S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,1,2,EMG_CH1_24BIT,,642257,642257,0,0,0,1.0,201.6666717529297,0.0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,642257,1.0,1.0,True,False
P020,S001,P020_S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,2,3,EMG_CH2_24BIT,,642257,642257,0,0,0,1.0,-24.136097473409126,0.40201467767811927,-24.076820373535156,0.2961559295654297,-25.090009689331055,-20.267885208129883,1.5874195098876918,69510,3,4.671027330180909e-06,3.114018220120606e-06,False,False
