task,policy,participant_id,available_rows,retained_rows,dropped_rows,low_count,high_count,both_classes,single_class,no_retained_rows,participants,participant_sessions,videos,support_class,canonical_quadrants,emotion_names
valence,discard_midpoint,P001,6,5,1,3,2,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P002,6,5,1,1,4,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P003,3,2,1,1,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P004,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P005,3,1,2,0,1,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P006,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P007,6,6,0,4,2,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P008,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P009,6,5,1,3,2,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P010,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P011,6,6,0,5,1,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P013,3,1,2,0,1,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P014,3,2,1,2,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P016,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P017,6,5,1,4,1,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P018,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P021,3,2,1,2,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P022,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P023,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P024,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P025,3,2,1,2,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P026,3,2,1,1,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P027,3,2,1,2,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P028,3,2,1,2,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P001,6,6,0,4,2,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P002,6,6,0,2,4,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P003,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P004,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P005,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P006,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P007,6,6,0,4,2,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P008,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P009,6,6,0,4,2,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P010,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P011,6,6,0,5,1,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P013,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P014,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P016,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P017,6,6,0,5,1,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P018,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P021,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P022,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P023,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P024,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P025,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P026,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P027,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_low,P028,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P001,6,6,0,3,3,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P002,6,6,0,1,5,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P003,3,3,0,1,2,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P004,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P005,3,3,0,0,3,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P006,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P007,6,6,0,4,2,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P008,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P009,6,6,0,3,3,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P010,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P011,6,6,0,5,1,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P013,3,3,0,0,3,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P014,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P016,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P017,6,6,0,4,2,True,False,False,1,2,6,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P018,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P021,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P022,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P023,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P024,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P025,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P026,3,3,0,1,2,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P027,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,midpoint_as_high,P028,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
arousal,discard_midpoint,P001,6,3,3,3,0,False,True,False,1,2,6,,A;B;C,Fear;Fun;Sadness
