unit_type,unit_id,participant_id,session_id,participant_session_key,start_sec,end_sec,duration_sec,prior_two_channel_eligible,prior_one_channel_eligible,strict_two_channel_eligible,strict_one_channel_eligible,strict_event_status,true_emg_channel_1_index,true_emg_channel_1_label,true_emg_channel_2_index,true_emg_channel_2_label,ch1_status,ch1_reason,ch1_sample_count,ch1_finite_count,ch1_finite_fraction,ch1_nan_count,ch1_mean,ch1_std,ch1_minimum,ch1_maximum,ch1_robust_range_p01_p99,ch1_unique_count,ch1_unique_fraction,ch1_mode_value,ch1_mode_fraction,ch1_longest_equal_run,ch1_longest_equal_run_fraction,ch1_endpoint_fraction,ch1_exact_flatline,ch2_status,ch2_reason,ch2_sample_count,ch2_finite_count,ch2_finite_fraction,ch2_nan_count,ch2_mean,ch2_std,ch2_minimum,ch2_maximum,ch2_robust_range_p01_p99,ch2_unique_count,ch2_unique_fraction,ch2_mode_value,ch2_mode_fraction,ch2_longest_equal_run,ch2_longest_equal_run_fraction,ch2_endpoint_fraction,ch2_exact_flatline
presentation,P015_S001_p4,P015,S001,P015_S001,917.0,1089.0,172.0,False,True,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,LONG_PLATEAU,87517,87517,1.0,0,197.91583413202838,19.850071456176362,36.1959228515625,201.6666717529297,137.45590637207033,4813,0.0549950295371185,201.6666717529297,0.9449135596512678,55440,0.6334769244832432,0.9449249860027195,False,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,87517,87517,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.1426351451717952e-05,-201.66668701171875,1.0,87517,1.0,1.0,True
transition,P015_S001_t1,P015,S001,P015_S001,216.0,349.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4776942059610185e-05,201.6666717529297,1.0,67673,1.0,1.0,True,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.4776942059610185e-05,-201.66668701171875,1.0,67673,1.0,1.0,True
transition,P015_S001_t2,P015,S001,P015_S001,492.0,625.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4776942059610185e-05,201.6666717529297,1.0,67673,1.0,1.0,True,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.4776942059610185e-05,-201.66668701171875,1.0,67673,1.0,1.0,True
transition,P015_S001_t3,P015,S001,P015_S001,784.0,917.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4776942059610185e-05,201.6666717529297,1.0,67673,1.0,1.0,True,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,67673,67673,1.0,0,-201.66668701171875,0.0,-201.66668701171875,-201.66668701171875,0.0,1,1.4776942059610185e-05,-201.66668701171875,1.0,67673,1.0,1.0,True
presentation,P019_S001_p1,P019,S001,P019_S001,32.0,216.0,184.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NONFINITE,36732,0,0.0,36732,,,,,,0,0.0,,,0,,,False,FAIL,NONFINITE,36732,0,0.0,36732,,,,,,0,0.0,,,0,,,False
presentation,P019_S001_p2,P019,S001,P019_S001,349.0,521.0,172.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
presentation,P019_S001_p3,P019,S001,P019_S001,654.0,797.0,143.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
presentation,P019_S001_p4,P019,S001,P019_S001,930.0,1102.0,172.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
transition,P019_S001_t1,P019,S001,P019_S001,216.0,349.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
transition,P019_S001_t2,P019,S001,P019_S001,521.0,654.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
transition,P019_S001_t3,P019,S001,P019_S001,797.0,930.0,133.0,False,False,False,False,FAIL,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False,FAIL,NO_SAMPLES;NONFINITE,0,0,0.0,0,,,,,,0,0.0,,,0,,,False
presentation,P020_S001_p1,P020,S001,P020_S001,32.0,216.0,184.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,94080,94080,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.0629251700680271e-05,201.6666717529297,1.0,94080,1.0,1.0,True,PASS,PASS,94080,94080,1.0,0,-23.77643303581241,0.16004539013603383,-24.23500633239746,-22.749061584472656,0.8955974197387704,24098,0.2561437074829932,-23.852689743041992,0.00023384353741496598,2,2.1258503401360543e-05,2.1258503401360543e-05,False
presentation,P020_S001_p2,P020,S001,P020_S001,349.0,521.0,172.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,87944,87944,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.1370872373328482e-05,201.6666717529297,1.0,87944,1.0,1.0,True,PASS,PASS,87944,87944,1.0,0,-24.54725392031993,0.18461440366333687,-25.0609188079834,-23.500160217285156,0.952605991363523,27591,0.3137337396525061,-24.572824478149414,0.00020467570271991267,2,2.2741744746656964e-05,2.2741744746656964e-05,False
presentation,P020_S001_p3,P020,S001,P020_S001,654.0,828.0,174.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,88967,88967,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.1240122742140344e-05,201.6666717529297,1.0,88967,1.0,1.0,True,PASS,PASS,88967,88967,1.0,0,-24.356524302314213,0.20906689095885142,-24.945308685302734,-23.273529052734375,1.0229343032836908,30233,0.339822630863129,-24.28123664855957,0.00021356233210066653,2,2.2480245484280688e-05,2.2480245484280688e-05,False
presentation,P020_S001_p4,P020,S001,P020_S001,961.0,1160.0,199.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,101749,101749,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,9.828106418736302e-06,201.6666717529297,1.0,101749,1.0,1.0,True,PASS,PASS,101749,101749,1.0,0,-23.803735082596518,0.17059031795343554,-24.216903686523438,-22.75764274597168,0.861224746704103,25992,0.25545214203579397,-23.926494598388672,0.00023587455404967125,2,1.9656212837472604e-05,1.9656212837472604e-05,False
transition,P020_S001_t1,P020,S001,P020_S001,216.0,349.0,133.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,68003,68003,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4705233592635619e-05,201.6666717529297,1.0,68003,1.0,1.0,True,PASS,PASS,68003,68003,1.0,0,-24.244181910488564,0.2481449881586845,-24.853328704833984,-22.96886444091797,1.0541471862792946,29142,0.4285399173565872,-24.395597457885742,0.00019116803670426305,3,4.4115700777906855e-05,2.9410467185271237e-05,False
transition,P020_S001_t2,P020,S001,P020_S001,521.0,654.0,133.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,68004,68004,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4705017351920476e-05,201.6666717529297,1.0,68004,1.0,1.0,True,PASS,PASS,68004,68004,1.0,0,-24.616238109140312,0.16481166474585046,-25.090009689331055,-23.607067108154297,0.9125164794921901,22575,0.3319657667196047,-24.69196891784668,0.00026469031233456857,2,2.941003470384095e-05,2.941003470384095e-05,False
transition,P020_S001_t3,P020,S001,P020_S001,828.0,961.0,133.0,False,True,False,True,ONE_CHANNEL_ONLY,2,EMG_CH1_24BIT,3,EMG_CH2_24BIT,FAIL,FLATLINE;SATURATED_MODE;LONG_PLATEAU,68003,68003,1.0,0,201.6666717529297,0.0,201.6666717529297,201.6666717529297,0.0,1,1.4705233592635619e-05,201.6666717529297,1.0,68003,1.0,1.0,True,PASS,PASS,68003,68003,1.0,0,-23.847577415213763,0.1636190618508288,-24.424686431884766,-22.92484474182129,0.9780068206787078,22428,0.32980897901563166,-23.899473190307617,0.000308809905445348,3,4.4115700777906855e-05,2.9410467185271237e-05,False
