repetition,role,held_subject_fold,held_video_fold,outer_cell,source_subjects,source_videos,source_rows,test_subjects,test_videos,test_rows,task,label_policy,source_scored_rows,source_low,source_high,source_both_classes,anchor_count,donor_min,donor_p10,donor_median,donor_max,zero_donor_rate,below_5_rate,below_20_rate,unique_subject_min,unique_video_min,unique_quadrant_min,same_quadrant_donor_fraction_median
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,valence,midpoint_as_high,48,23,25,True,48,12,15.0,19.0,22,0.0,0.0,0.6666666666666666,10,4,2,0.3944444444444445
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,arousal,discard_midpoint,35,8,27,True,35,5,6.0,21.0,26,0.0,0.0,0.2857142857142857,5,4,2,0.3333333333333333
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,arousal,midpoint_as_low,48,21,27,True,48,13,14.7,20.5,26,0.0,0.0,0.4583333333333333,10,7,3,0.29923273657289007
0,primary,2,3,R00_S2_V3,16,9,48,4,5,8,arousal,midpoint_as_high,48,8,40,True,48,5,6.7,33.0,36,0.0,0.0,0.16666666666666666,5,4,2,0.2687165775401069
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,valence,discard_midpoint,23,17,6,True,23,3,3.2,13.0,15,0.0,0.21739130434782608,1.0,2,2,1,0.3333333333333333
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,valence,midpoint_as_low,28,22,6,True,28,3,3.7,17.0,20,0.0,0.17857142857142858,0.9642857142857143,2,2,1,0.41666666666666663
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,valence,midpoint_as_high,28,17,11,True,28,6,7.0,12.5,15,0.0,0.0,1.0,3,4,2,0.33035714285714285
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,arousal,discard_midpoint,23,14,9,True,23,4,6.0,8.0,13,0.0,0.08695652173913043,1.0,4,2,1,0.3333333333333333
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,arousal,midpoint_as_low,28,19,9,True,28,4,6.0,14.0,18,0.0,0.07142857142857142,1.0,4,2,1,0.31009615384615385
0,primary,3,1,R00_S3_V1,13,10,28,8,6,14,arousal,midpoint_as_high,28,14,14,True,28,6,8.0,10.0,13,0.0,0.0,1.0,4,4,2,0.3205128205128205
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,valence,discard_midpoint,47,35,12,True,47,5,6.0,26.0,32,0.0,0.0,0.2553191489361702,4,2,1,0.48148148148148145
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,valence,midpoint_as_low,51,39,12,True,51,5,6.0,30.0,36,0.0,0.0,0.23529411764705882,4,2,1,0.46875
0,primary,3,2,R00_S3_V2,16,11,51,6,3,6,valence,midpoint_as_high,51,35,16,True,51,8,10.0,26.0,32,0.0,0.0,0.3137254901960784,7,5,2,0.48
