participant_id,session_id,xdf_filename,stream_name,channel_index,channel_label,channel_unit,is_true_emg,is_official_code_selected_index_0_or_1,sample_count,finite_count,nan_count,posinf_count,neginf_count,finite_fraction,mean,std,minimum,maximum,robust_range_p01_p99,constant_channel,near_constant_channel,qc_status
P005,S001,sub-P005_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,618073,618073,0,0,0,1.0,3768.738203207698,11.888937687462276,3670.32958984375,3827.106201171875,68.864501953125,False,False,PASS
P005,S001,sub-P005_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,618073,618073,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P005,S001,sub-P005_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,618073,618073,0,0,0,1.0,-5.254377699084167,0.23394501315680877,-5.848968029022217,-4.638142108917236,0.9982595443725586,False,False,PASS
P005,S001,sub-P005_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,618073,618073,0,0,0,1.0,-9.517698132818765,0.8106391767543468,-11.458468437194824,-7.993961334228516,2.6988051223754876,False,False,PASS
P006,S001,sub-P006_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,621825,621825,0,0,0,1.0,3767.915702907096,11.849754208100896,3665.93408203125,3827.106201171875,68.864501953125,False,False,PASS
P006,S001,sub-P006_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,621825,621825,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P006,S001,sub-P006_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,621825,621825,0,0,0,1.0,9.066718717835874,0.2498211234935427,8.21251392364502,9.556909561157227,1.0756158828735352,False,False,PASS
P006,S001,sub-P006_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,621825,621825,0,0,0,1.0,4.458420462233547,0.31983235351309564,3.1719813346862793,5.640199661254883,1.3288835906982421,False,False,PASS
P007,S001,sub-P007_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,630507,630507,0,0,0,1.0,3774.5771957232,10.84199318309355,3689.377197265625,3832.967041015625,67.399169921875,False,False,PASS
P007,S001,sub-P007_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,630507,630507,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P007,S001,sub-P007_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,630507,630507,0,0,0,1.0,2.1783465980888552,0.9457819913415303,0.48751816153526306,3.9139926433563232,3.174265146255493,False,False,PASS
P007,S001,sub-P007_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,630507,630507,0,0,0,1.0,-0.6193136174731618,0.2670098585506041,-1.3504294157028198,0.28995299339294434,0.9673899891972528,False,False,PASS
P007,S002,sub-P007_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,615560,615560,0,0,0,1.0,3773.1277870685394,11.988110323972796,3673.260009765625,3832.967041015625,67.399169921875,False,False,PASS
P007,S002,sub-P007_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,615560,615560,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P007,S002,sub-P007_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,615560,615560,0,0,0,1.0,5.377986022714782,0.4965539452194503,4.161754608154297,6.021218299865723,1.6076631546020508,False,False,PASS
P007,S002,sub-P007_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,615560,615560,0,0,0,1.0,-6.652056629556732,0.5606722340906559,-7.982253551483154,-4.34705924987793,2.8938236236572283,False,False,PASS
P008,S001,sub-P008_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,645867,645867,0,0,0,1.0,3773.567832794713,10.837371171306723,3683.5166015625,3830.03662109375,65.93408203125,False,False,PASS
P008,S001,sub-P008_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,645867,645867,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P008,S001,sub-P008_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,645867,645867,0,0,0,1.0,-8.481689739279567,0.7109244875528323,-10.148738861083984,-6.898794174194336,2.4669766426086426,False,False,PASS
P008,S001,sub-P008_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,645867,645867,0,0,0,1.0,-14.495934123919032,0.6531136497196888,-19.63143539428711,-5.042792320251465,2.4547243118286133,False,False,PASS
P009,S001,sub-P009_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,635382,635382,0,0,0,1.0,3772.215261314533,9.485949108928166,3686.44677734375,3791.94140625,36.6298828125,False,False,PASS
P009,S001,sub-P009_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,635382,635382,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P009,S001,sub-P009_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,635382,635382,0,0,0,1.0,-1.9099976348837404,0.06499405986188792,-2.109485626220703,-1.5034714937210083,0.29329924345016334,False,False,PASS
P009,S001,sub-P009_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,635382,635382,0,0,0,1.0,29.676984388738198,0.41679252164084607,26.223567962646484,30.649456024169922,1.1949915885925293,False,False,PASS
P009,S002,sub-P009_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,604417,604417,0,0,0,1.0,3765.004500877676,10.661285997037698,3651.281982421875,3784.615478515625,42.490966796875,False,False,PASS
P009,S002,sub-P009_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,604417,604417,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P009,S002,sub-P009_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,604417,604417,0,0,0,1.0,3.2104253579299833,0.5091713256244522,2.1814868450164795,4.136439800262451,1.6870932579040527,False,False,PASS
P009,S002,sub-P009_ses-S002_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,604417,604417,0,0,0,1.0,-25.44957987008191,0.7739141543511664,-27.163192749023438,-20.31142234802246,2.5386048889160158,False,False,PASS
P010,S001,sub-P010_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,616617,616617,0,0,0,1.0,3753.265363135318,11.836952686311513,3641.025634765625,3810.989013671875,68.864501953125,False,False,PASS
P010,S001,sub-P010_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,1,ECG_EMG_Status1,,False,True,616617,616617,0,0,0,1.0,128.0,0.0,128.0,128.0,0.0,True,True,CONSTANT
P010,S001,sub-P010_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,2,EMG_CH1_24BIT,,True,False,616617,616617,0,0,0,1.0,2.62622156503428,0.3493676830665479,2.0333251953125,3.501505136489868,1.0641746520996085,False,False,PASS
P010,S001,sub-P010_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,3,EMG_CH2_24BIT,,True,False,616617,616617,0,0,0,1.0,-1.0438596056825657,0.1453386716686591,-1.6703128814697266,0.0629381388425827,0.6468790984153747,False,False,PASS
P011,S001,sub-P011_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,0,Battery,,False,True,674073,674073,0,0,0,1.0,3766.0031352914048,10.697630942410825,3651.281982421875,3786.08056640625,43.9560546875,False,False,PASS
