task,policy,available_rows,retained_rows,dropped_rows,midpoint_rows,low_count,high_count,low_fraction,high_fraction,majority_accuracy_baseline,uniform_random_accuracy_reference,participants_retained,participant_sessions_retained,videos_retained,participants_with_both_classes,single_class_participants,sessions_with_both_classes,single_class_sessions,videos_with_both_classes,single_class_videos,singleton_participant_videos,videos_with_at_least_2_participants,minimum_video_retained_rows,median_video_retained_rows,maximum_video_retained_rows
valence,discard_midpoint,90,75,15,15,53,22,0.7066666666666667,0.29333333333333333,0.7066666666666667,0.5,24,30,16,14,10,17,13,4,12,4,12,1,4.5,10
valence,midpoint_as_low,90,90,0,15,68,22,0.7555555555555555,0.24444444444444444,0.7555555555555555,0.5,24,30,16,16,8,20,10,5,11,4,12,1,5.5,11
valence,midpoint_as_high,90,90,0,15,53,37,0.5888888888888889,0.4111111111111111,0.5888888888888889,0.5,24,30,16,19,5,22,8,9,7,4,12,1,5.5,11
arousal,discard_midpoint,90,71,19,19,33,38,0.4647887323943662,0.5352112676056338,0.5352112676056338,0.5,24,30,15,9,15,10,20,11,4,4,12,0,5.0,9
arousal,midpoint_as_low,90,90,0,19,52,38,0.5777777777777777,0.4222222222222222,0.5777777777777777,0.5,24,30,16,14,10,17,13,11,5,4,12,1,5.5,11
arousal,midpoint_as_high,90,90,0,19,33,57,0.36666666666666664,0.6333333333333333,0.6333333333333333,0.5,24,30,16,14,10,16,14,11,5,4,12,1,5.5,11
