unit_type,unit_id,participant_id,session_id,participant_session_key,start_sec,end_sec,duration_sec,video_name,is_baseline,transition_type,raw_emg_any_overlap,raw_emg_full_coverage,raw_emg_observed_samples,raw_emg_expected_samples,raw_emg_sample_coverage_ratio,raw_emg_interval_max_gap_sec,raw_emg_interval_gap_ok,raw_emg_coverage_reason
presentation,P001_S001_p1,P001,S001,P001_S001,32.0,216.0,184.0,Clouds,True,,True,True,95109,94208,1.0,0.0019556324696168303,True,PASS
presentation,P001_S001_p2,P001,S001,P001_S001,349.0,530.0,181.0,The Champ,False,,True,True,93576,92672,1.0,0.0019556324696168303,True,PASS
presentation,P001_S001_p3,P001,S001,P001_S001,663.0,879.0,216.0,Scream,False,,True,True,111473,110592,1.0,0.0019556324696168303,True,PASS
presentation,P001_S001_p4,P001,S001,P001_S001,1012.0,1142.0,130.0,The Visitors,False,,True,True,67498,66560,1.0,0.0019556324696168303,True,PASS
presentation,P001_S002_p1,P001,S002,P001_S002,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.0019531903380993754,True,PASS
presentation,P001_S002_p2,P001,S002,P001_S002,349.0,450.0,101.0,The Exorcist,False,,True,True,52734,51712,1.0,0.0019531903380993754,True,PASS
presentation,P001_S002_p3,P001,S002,P001_S002,583.0,710.0,127.0,Life is beautiful,False,,True,True,66045,65024,1.0,0.0019531903380993754,True,PASS
presentation,P001_S002_p4,P001,S002,P001_S002,843.0,989.0,146.0,There is something about Mary 2,False,,True,True,75774,74752,1.0,0.0019531903380993754,True,PASS
presentation,P002_S001_p1,P002,S001,P002_S001,32.0,216.0,184.0,Clouds,True,,True,True,95091,94208,1.0,0.0019560125656425953,True,PASS
presentation,P002_S001_p2,P002,S001,P002_S001,349.0,521.0,172.0,28 days later,False,,True,True,88957,88064,1.0,0.0019560125656425953,True,PASS
presentation,P002_S001_p3,P002,S001,P002_S001,654.0,813.0,159.0,Mr. Bean,False,,True,True,82310,81408,1.0,0.0019560125656425953,True,PASS
presentation,P002_S001_p4,P002,S001,P002_S001,946.0,1089.0,143.0,Dangerous Minds,False,,True,True,74130,73216,1.0,0.0019560125656425953,True,PASS
presentation,P002_S002_p1,P002,S002,P002_S002,32.0,216.0,184.0,Clouds,True,,True,True,95228,94208,1.0,0.001953190061612986,True,PASS
presentation,P002_S002_p2,P002,S002,P002_S002,349.0,521.0,172.0,When Harry met Sally,False,,True,True,89085,88064,1.0,0.001953190061612986,True,PASS
presentation,P002_S002_p3,P002,S002,P002_S002,654.0,870.0,216.0,Scream,False,,True,True,111612,110592,1.0,0.001953190061612986,True,PASS
presentation,P002_S002_p4,P002,S002,P002_S002,1003.0,1202.0,199.0,My girl,False,,True,True,102909,101888,1.0,0.001953190061612986,True,PASS
presentation,P003_S001_p1,P003,S001,P003_S001,32.0,216.0,184.0,Clouds,True,,True,True,95112,94208,1.0,0.0019555853214114904,True,PASS
presentation,P003_S001_p2,P003,S001,P003_S001,349.0,523.0,174.0,There is something about Mary,False,,True,True,89998,89088,1.0,0.0019555853214114904,True,PASS
presentation,P003_S001_p3,P003,S001,P003_S001,656.0,855.0,199.0,My girl,False,,True,True,102782,101888,1.0,0.0019555853214114904,True,PASS
presentation,P003_S001_p4,P003,S001,P003_S001,988.0,1153.0,165.0,The Shining,False,,True,True,85396,84480,1.0,0.0019555853214114904,True,PASS
presentation,P004_S001_p1,P004,S001,P004_S001,32.0,216.0,184.0,Clouds,True,,True,True,95096,94208,1.0,0.0019559205902623944,True,PASS
presentation,P004_S001_p2,P004,S001,P004_S001,349.0,565.0,216.0,Scream,False,,True,True,111457,110592,1.0,0.0019559205902623944,True,PASS
presentation,P004_S001_p3,P004,S001,P004_S001,698.0,857.0,159.0,Mr. Bean,False,,True,True,82314,81408,1.0,0.0019559205902623944,True,PASS
presentation,P004_S001_p4,P004,S001,P004_S001,990.0,1171.0,181.0,The Champ,False,,True,True,93562,92672,1.0,0.0019559205902623944,True,PASS
presentation,P005_S001_p1,P005,S001,P005_S001,32.0,216.0,184.0,Clouds,True,,True,True,95097,94208,1.0,0.0019558992062229663,True,PASS
presentation,P005_S001_p2,P005,S001,P005_S001,349.0,479.0,130.0,The Visitors,False,,True,True,67489,66560,1.0,0.0019558992062229663,True,PASS
presentation,P005_S001_p3,P005,S001,P005_S001,612.0,793.0,181.0,The Champ,False,,True,True,93564,92672,1.0,0.0019558992062229663,True,PASS
presentation,P005_S001_p4,P005,S001,P005_S001,926.0,1146.0,220.0,Misery,False,,True,True,113503,112640,1.0,0.0019558992062229663,True,PASS
presentation,P006_S001_p1,P006,S001,P006_S001,32.0,216.0,184.0,Clouds,True,,True,True,95116,94208,1.0,0.001955499639734626,True,PASS
presentation,P006_S001_p2,P006,S001,P006_S001,349.0,523.0,174.0,There is something about Mary,False,,True,True,90002,89088,1.0,0.001955499639734626,True,PASS
presentation,P006_S001_p3,P006,S001,P006_S001,656.0,837.0,181.0,The Champ,False,,True,True,93582,92672,1.0,0.001955499639734626,True,PASS
presentation,P006_S001_p4,P006,S001,P006_S001,970.0,1135.0,165.0,The Shining,False,,True,True,85400,84480,1.0,0.001955499639734626,True,PASS
presentation,P007_S001_p1,P007,S001,P007_S001,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.0019531867001205683,True,PASS
presentation,P007_S001_p2,P007,S001,P007_S001,349.0,521.0,172.0,28 days later,False,,True,True,89085,88064,1.0,0.0019531867001205683,True,PASS
presentation,P007_S001_p3,P007,S001,P007_S001,654.0,853.0,199.0,My girl,False,,True,True,102908,101888,1.0,0.0019531867001205683,True,PASS
presentation,P007_S001_p4,P007,S001,P007_S001,986.0,1158.0,172.0,When Harry met Sally,False,,True,True,89086,88064,1.0,0.0019531867001205683,True,PASS
presentation,P007_S002_p1,P007,S002,P007_S002,32.0,216.0,184.0,Clouds,True,,True,True,95105,94208,1.0,0.001955730203917483,True,PASS
presentation,P007_S002_p2,P007,S002,P007_S002,349.0,508.0,159.0,Mr. Bean,False,,True,True,82323,81408,1.0,0.001955730203917483,True,PASS
presentation,P007_S002_p3,P007,S002,P007_S002,641.0,861.0,220.0,Misery,False,,True,True,113513,112640,1.0,0.0019557302075554617,True,PASS
presentation,P007_S002_p4,P007,S002,P007_S002,994.0,1137.0,143.0,Dangerous Minds,False,,True,True,74141,73216,1.0,0.0019557302075554617,True,PASS
presentation,P008_S001_p1,P008,S001,P008_S001,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.001953187515027821,True,PASS
presentation,P008_S001_p2,P008,S001,P008_S001,349.0,548.0,199.0,My girl,False,,True,True,102909,101888,1.0,0.001953187515027821,True,PASS
presentation,P008_S001_p3,P008,S001,P008_S001,681.0,846.0,165.0,The Shining,False,,True,True,85501,84480,1.0,0.001953187515027821,True,PASS
presentation,P008_S001_p4,P008,S001,P008_S001,979.0,1151.0,172.0,When Harry met Sally,False,,True,True,89085,88064,1.0,0.001953187515027821,True,PASS
presentation,P009_S001_p1,P009,S001,P009_S001,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.0019531816942617297,True,PASS
presentation,P009_S001_p2,P009,S001,P009_S001,349.0,548.0,199.0,My girl,False,,True,True,102909,101888,1.0,0.0019531816942617297,True,PASS
presentation,P009_S001_p3,P009,S001,P009_S001,681.0,853.0,172.0,28 days later,False,,True,True,89085,88064,1.0,0.0019531816942617297,True,PASS
presentation,P009_S001_p4,P009,S001,P009_S001,986.0,1160.0,174.0,There is something about Mary,False,,True,True,90109,89088,1.0,0.0019531816942617297,True,PASS
presentation,P009_S002_p1,P009,S002,P009_S002,32.0,216.0,184.0,Clouds,True,,True,True,95101,94208,1.0,0.0019558060112103703,True,PASS
presentation,P009_S002_p2,P009,S002,P009_S002,349.0,569.0,220.0,Misery,False,,True,True,113508,112640,1.0,0.0019558060112103703,True,PASS
presentation,P009_S002_p3,P009,S002,P009_S002,702.0,845.0,143.0,Dangerous Minds,False,,True,True,74139,73216,1.0,0.0019558060112103703,True,PASS
presentation,P009_S002_p4,P009,S002,P009_S002,978.0,1137.0,159.0,Mr. Bean,False,,True,True,82319,81408,1.0,0.0019558060112103703,True,PASS
presentation,P010_S001_p1,P010,S001,P010_S001,32.0,216.0,184.0,Clouds,True,,True,True,95088,94208,1.0,0.0019560863729566336,True,PASS
presentation,P010_S001_p2,P010,S001,P010_S001,349.0,523.0,174.0,There is something about Mary,False,,True,True,89976,89088,1.0,0.0019560863729566336,True,PASS
presentation,P010_S001_p3,P010,S001,P010_S001,656.0,821.0,165.0,The Shining,False,,True,True,85374,84480,1.0,0.0019560863729566336,True,PASS
presentation,P010_S001_p4,P010,S001,P010_S001,954.0,1135.0,181.0,The Champ,False,,True,True,93554,92672,1.0,0.0019560863729566336,True,PASS
presentation,P011_S001_p1,P011,S001,P011_S001,32.0,216.0,184.0,Clouds,True,,True,True,95076,94208,1.0,0.0019563435344025493,True,PASS
presentation,P011_S001_p2,P011,S001,P011_S001,349.0,521.0,172.0,When Harry met Sally,False,,True,True,88942,88064,1.0,0.0019563435344025493,True,PASS
presentation,P011_S001_p3,P011,S001,P011_S001,654.0,874.0,220.0,Misery,False,,True,True,113477,112640,1.0,0.0019563435344025493,True,PASS
presentation,P011_S001_p4,P011,S001,P011_S001,1007.0,1206.0,199.0,My girl,False,,True,True,102743,101888,1.0,0.0019563435344025493,True,PASS
presentation,P011_S002_p1,P011,S002,P011_S002,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.001953180064447224,True,PASS
presentation,P011_S002_p2,P011,S002,P011_S002,349.0,479.0,130.0,The Visitors,False,,True,True,67582,66560,1.0,0.001953180064447224,True,PASS
presentation,P011_S002_p3,P011,S002,P011_S002,612.0,793.0,181.0,The Champ,False,,True,True,93693,92672,1.0,0.001953180064447224,True,PASS
presentation,P011_S002_p4,P011,S002,P011_S002,926.0,1142.0,216.0,Scream,False,,True,True,111613,110592,1.0,0.001953180064447224,True,PASS
presentation,P012_S001_p1,P012,S001,P012_S001,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.001953181461431086,True,PASS
presentation,P012_S001_p2,P012,S001,P012_S001,349.0,530.0,181.0,The Champ,False,,True,True,93693,92672,1.0,0.001953181461431086,True,PASS
presentation,P012_S001_p3,P012,S001,P012_S001,663.0,835.0,172.0,28 days later,False,,True,True,89086,88064,1.0,0.001953181461431086,True,PASS
