unit_type,unit_id,participant_id,session_id,participant_session_key,start_sec,end_sec,duration_sec,video_name,is_baseline,transition_type,raw_emg_any_overlap,raw_emg_full_coverage,raw_emg_observed_samples,raw_emg_expected_samples,raw_emg_sample_coverage_ratio,raw_emg_interval_max_gap_sec,raw_emg_interval_gap_ok,raw_emg_coverage_reason
presentation,P012_S001_p4,P012,S001,P012_S001,968.0,1142.0,174.0,There is something about Mary,False,,True,True,90109,89088,1.0,0.001953181461431086,True,PASS
presentation,P013_S001_p1,P013,S001,P013_S001,32.0,216.0,184.0,Clouds,True,,True,True,95102,94208,1.0,0.0019557817140594125,True,PASS
presentation,P013_S001_p2,P013,S001,P013_S001,349.0,521.0,172.0,28 days later,False,,True,True,88967,88064,1.0,0.0019557817140594125,True,PASS
presentation,P013_S001_p3,P013,S001,P013_S001,654.0,826.0,172.0,When Harry met Sally,False,,True,True,88967,88064,1.0,0.0019557817140594125,True,PASS
presentation,P013_S001_p4,P013,S001,P013_S001,959.0,1158.0,199.0,My girl,False,,True,True,102772,101888,1.0,0.0019557817140594125,True,PASS
presentation,P014_S001_p1,P014,S001,P014_S001,32.0,216.0,184.0,Clouds,True,,True,True,95084,94208,1.0,0.00195617089048028,True,PASS
presentation,P014_S001_p2,P014,S001,P014_S001,349.0,569.0,220.0,Misery,False,,True,True,113487,112640,1.0,0.00195617089048028,True,PASS
presentation,P014_S001_p3,P014,S001,P014_S001,702.0,876.0,174.0,There is something about Mary,False,,True,True,89972,89088,1.0,0.00195617089048028,True,PASS
presentation,P014_S001_p4,P014,S001,P014_S001,1009.0,1152.0,143.0,Dangerous Minds,False,,True,True,74124,73216,1.0,0.00195617089048028,True,PASS
presentation,P015_S001_p1,P015,S001,P015_S001,32.0,216.0,184.0,Clouds,True,,True,True,94640,94208,1.0,0.001965328978258185,True,PASS
presentation,P015_S001_p2,P015,S001,P015_S001,349.0,492.0,143.0,Dangerous Minds,False,,True,True,73779,73216,1.0,0.001965328978258185,True,PASS
presentation,P015_S001_p3,P015,S001,P015_S001,625.0,784.0,159.0,Mr. Bean,False,,True,True,81921,81408,1.0,0.001965328978258185,True,PASS
presentation,P015_S001_p4,P015,S001,P015_S001,917.0,1089.0,172.0,28 days later,False,,True,True,88535,88064,1.0,0.001965328978258185,True,PASS
presentation,P016_S001_p1,P016,S001,P016_S001,32.0,216.0,184.0,Clouds,True,,True,True,95104,94208,1.0,0.001955756793904584,True,PASS
presentation,P016_S001_p2,P016,S001,P016_S001,349.0,521.0,172.0,28 days later,False,,True,True,88968,88064,1.0,0.001955756793904584,True,PASS
presentation,P016_S001_p3,P016,S001,P016_S001,654.0,835.0,181.0,The Champ,False,,True,True,93569,92672,1.0,0.001955756793904584,True,PASS
presentation,P016_S001_p4,P016,S001,P016_S001,968.0,1127.0,159.0,Mr. Bean,False,,True,True,82321,81408,1.0,0.001955756793904584,True,PASS
presentation,P017_S001_p1,P017,S001,P017_S001,32.0,216.0,184.0,Clouds,True,,True,True,95102,94208,1.0,0.0019558061030693352,True,PASS
presentation,P017_S001_p2,P017,S001,P017_S001,349.0,492.0,143.0,Dangerous Minds,False,,True,True,74138,73216,1.0,0.0019558061030693352,True,PASS
presentation,P017_S001_p3,P017,S001,P017_S001,625.0,790.0,165.0,The Shining,False,,True,True,85387,84480,1.0,0.0019558061030693352,True,PASS
presentation,P017_S001_p4,P017,S001,P017_S001,923.0,1082.0,159.0,Mr. Bean,False,,True,True,82319,81408,1.0,0.0019558061030693352,True,PASS
presentation,P017_S002_p1,P017,S002,P017_S002,32.0,216.0,184.0,Clouds,True,,True,True,95088,94208,1.0,0.0019560728687793016,True,PASS
presentation,P017_S002_p2,P017,S002,P017_S002,349.0,615.0,266.0,The Shining 2,False,,True,True,137010,136192,1.0,0.0019560728687793016,True,PASS
presentation,P017_S002_p3,P017,S002,P017_S002,748.0,928.0,180.0,Fish called Wanda,False,,True,True,93043,92160,1.0,0.0019560728687793016,True,PASS
presentation,P017_S002_p4,P017,S002,P017_S002,1061.0,1188.0,127.0,Life is beautiful,False,,True,True,65948,65024,1.0,0.0019560728687793016,True,PASS
presentation,P018_S001_p1,P018,S001,P018_S001,32.0,216.0,184.0,Clouds,True,,True,True,95015,94208,1.0,0.001957591390237212,True,PASS
presentation,P018_S001_p2,P018,S001,P018_S001,349.0,530.0,181.0,The Champ,False,,True,True,93482,92672,1.0,0.001957591390237212,True,PASS
presentation,P018_S001_p3,P018,S001,P018_S001,663.0,835.0,172.0,28 days later,False,,True,True,88885,88064,1.0,0.001957591390237212,True,PASS
presentation,P018_S001_p4,P018,S001,P018_S001,968.0,1098.0,130.0,The Visitors,False,,True,True,67429,66560,1.0,0.001957591390237212,True,PASS
presentation,P019_S001_p1,P019,S001,P019_S001,32.0,216.0,184.0,Clouds,True,,True,False,37244,94208,0.39533797554347827,0.001953323371708393,True,BOUNDARY_NOT_COVERED;LOW_SAMPLE_COVERAGE
presentation,P019_S001_p2,P019,S001,P019_S001,349.0,521.0,172.0,When Harry met Sally,False,,False,False,0,88064,0.0,,False,NO_OVERLAP;BOUNDARY_NOT_COVERED;GAP_OR_TOO_FEW_SAMPLES;LOW_SAMPLE_COVERAGE
presentation,P019_S001_p3,P019,S001,P019_S001,654.0,797.0,143.0,Dangerous Minds,False,,False,False,0,73216,0.0,,False,NO_OVERLAP;BOUNDARY_NOT_COVERED;GAP_OR_TOO_FEW_SAMPLES;LOW_SAMPLE_COVERAGE
presentation,P019_S001_p4,P019,S001,P019_S001,930.0,1102.0,172.0,28 days later,False,,False,False,0,88064,0.0,,False,NO_OVERLAP;BOUNDARY_NOT_COVERED;GAP_OR_TOO_FEW_SAMPLES;LOW_SAMPLE_COVERAGE
presentation,P020_S001_p1,P020,S001,P020_S001,32.0,216.0,184.0,Clouds,True,,True,True,95102,94208,1.0,0.001955784857273102,True,PASS
presentation,P020_S001_p2,P020,S001,P020_S001,349.0,521.0,172.0,28 days later,False,,True,True,88967,88064,1.0,0.001955784857273102,True,PASS
presentation,P020_S001_p3,P020,S001,P020_S001,654.0,828.0,174.0,There is something about Mary,False,,True,True,89990,89088,1.0,0.001955784857273102,True,PASS
presentation,P020_S001_p4,P020,S001,P020_S001,961.0,1160.0,199.0,My girl,False,,True,True,102772,101888,1.0,0.001955784857273102,True,PASS
presentation,P021_S001_p1,P021,S001,P021_S001,32.0,216.0,184.0,Clouds,True,,True,True,95107,94208,1.0,0.001955687766894698,True,PASS
presentation,P021_S001_p2,P021,S001,P021_S001,349.0,565.0,216.0,Scream,False,,True,True,111469,110592,1.0,0.001955687766894698,True,PASS
presentation,P021_S001_p3,P021,S001,P021_S001,698.0,828.0,130.0,The Visitors,False,,True,True,67496,66560,1.0,0.001955687766894698,True,PASS
presentation,P021_S001_p4,P021,S001,P021_S001,961.0,1104.0,143.0,Dangerous Minds,False,,True,True,74143,73216,1.0,0.001955687766894698,True,PASS
presentation,P022_S001_p1,P022,S001,P022_S001,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.0019531804136931896,True,PASS
presentation,P022_S001_p2,P022,S001,P022_S001,349.0,479.0,130.0,The Visitors,False,,True,True,67582,66560,1.0,0.0019531804136931896,True,PASS
presentation,P022_S001_p3,P022,S001,P022_S001,612.0,811.0,199.0,My girl,False,,True,True,102909,101888,1.0,0.0019531804136931896,True,PASS
presentation,P022_S001_p4,P022,S001,P022_S001,944.0,1164.0,220.0,Misery,False,,True,True,113661,112640,1.0,0.0019531804136931896,True,PASS
presentation,P023_S001_p1,P023,S001,P023_S001,32.0,216.0,184.0,Clouds,True,,True,True,95227,94208,1.0,0.001953235056134872,True,PASS
presentation,P023_S001_p2,P023,S001,P023_S001,349.0,548.0,199.0,My girl,False,,True,True,102906,101888,1.0,0.001953235056134872,True,PASS
presentation,P023_S001_p3,P023,S001,P023_S001,681.0,901.0,220.0,Misery,False,,True,True,113658,112640,1.0,0.001953235056134872,True,PASS
presentation,P023_S001_p4,P023,S001,P023_S001,1034.0,1193.0,159.0,Mr. Bean,False,,True,True,82427,81408,1.0,0.001953235056134872,True,PASS
presentation,P024_S001_p1,P024,S001,P024_S001,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.0019531785510480404,True,PASS
presentation,P024_S001_p2,P024,S001,P024_S001,349.0,479.0,130.0,The Visitors,False,,True,True,67582,66560,1.0,0.0019531785510480404,True,PASS
presentation,P024_S001_p3,P024,S001,P024_S001,612.0,793.0,181.0,The Champ,False,,True,True,93693,92672,1.0,0.0019531785510480404,True,PASS
presentation,P024_S001_p4,P024,S001,P024_S001,926.0,1146.0,220.0,Misery,False,,True,True,113661,112640,1.0,0.0019531785510480404,True,PASS
presentation,P025_S001_p1,P025,S001,P025_S001,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.001953180064447224,True,PASS
presentation,P025_S001_p2,P025,S001,P025_S001,349.0,479.0,130.0,The Visitors,False,,True,True,67582,66560,1.0,0.001953180064447224,True,PASS
presentation,P025_S001_p3,P025,S001,P025_S001,612.0,784.0,172.0,28 days later,False,,True,True,89085,88064,1.0,0.001953180064447224,True,PASS
presentation,P025_S001_p4,P025,S001,P025_S001,917.0,1060.0,143.0,Dangerous Minds,False,,True,True,74238,73216,1.0,0.001953180064447224,True,PASS
presentation,P026_S001_p1,P026,S001,P026_S001,32.0,216.0,184.0,Clouds,True,,True,True,95119,94208,1.0,0.0019554459722712636,True,PASS
presentation,P026_S001_p2,P026,S001,P026_S001,349.0,508.0,159.0,Mr. Bean,False,,True,True,82334,81408,1.0,0.0019554459722712636,True,PASS
presentation,P026_S001_p3,P026,S001,P026_S001,641.0,813.0,172.0,28 days later,False,,True,True,88982,88064,1.0,0.0019554459722712636,True,PASS
presentation,P026_S001_p4,P026,S001,P026_S001,946.0,1089.0,143.0,Dangerous Minds,False,,True,True,74152,73216,1.0,0.0019554459722712636,True,PASS
presentation,P027_S001_p1,P027,S001,P027_S001,32.0,216.0,184.0,Clouds,True,,True,True,95097,94208,1.0,0.0019558933563530445,True,PASS
presentation,P027_S001_p2,P027,S001,P027_S001,349.0,530.0,181.0,The Champ,False,,True,True,93563,92672,1.0,0.0019558933563530445,True,PASS
presentation,P027_S001_p3,P027,S001,P027_S001,663.0,879.0,216.0,Scream,False,,True,True,111458,110592,1.0,0.0019558933563530445,True,PASS
presentation,P027_S001_p4,P027,S001,P027_S001,1012.0,1142.0,130.0,The Visitors,False,,True,True,67489,66560,1.0,0.0019558933563530445,True,PASS
presentation,P028_S001_p1,P028,S001,P028_S001,32.0,216.0,184.0,Clouds,True,,True,True,95229,94208,1.0,0.0019531800353433937,True,PASS
presentation,P028_S001_p2,P028,S001,P028_S001,349.0,569.0,220.0,Misery,False,,True,True,113661,112640,1.0,0.0019531800353433937,True,PASS
presentation,P028_S001_p3,P028,S001,P028_S001,702.0,883.0,181.0,The Champ,False,,True,True,93694,92672,1.0,0.0019531800353433937,True,PASS
presentation,P028_S001_p4,P028,S001,P028_S001,1016.0,1146.0,130.0,The Visitors,False,,True,True,67582,66560,1.0,0.0019531800353433937,True,PASS
transition,P001_S001_t1,P001,S001,P001_S001,216.0,349.0,133.0,,,D_to_C,True,True,69031,68096,1.0,0.0019556324696168303,True,PASS
transition,P001_S001_t2,P001,S001,P001_S001,530.0,663.0,133.0,,,C_to_B,True,True,69031,68096,1.0,0.0019556324696168303,True,PASS
transition,P001_S001_t3,P001,S001,P001_S001,879.0,1012.0,133.0,,,B_to_A,True,True,69031,68096,1.0,0.0019556324696168303,True,PASS
transition,P001_S002_t1,P001,S002,P001_S002,216.0,349.0,133.0,,,D_to_B,True,True,69118,68096,1.0,0.0019531903380993754,True,PASS
transition,P001_S002_t2,P001,S002,P001_S002,450.0,583.0,133.0,,,B_to_C,True,True,69118,68096,1.0,0.0019531903380993754,True,PASS
transition,P001_S002_t3,P001,S002,P001_S002,710.0,843.0,133.0,,,C_to_A,True,True,69118,68096,1.0,0.0019531903380993754,True,PASS
transition,P002_S001_t1,P002,S001,P002_S001,216.0,349.0,133.0,,,D_to_B,True,True,69018,68096,1.0,0.0019560125656425953,True,PASS
transition,P002_S001_t2,P002,S001,P002_S001,521.0,654.0,133.0,,,B_to_A,True,True,69018,68096,1.0,0.0019560125656425953,True,PASS
transition,P002_S001_t3,P002,S001,P002_S001,813.0,946.0,133.0,,,A_to_C,True,True,69018,68096,1.0,0.0019560125656425953,True,PASS
transition,P002_S002_t1,P002,S002,P002_S002,216.0,349.0,133.0,,,D_to_A,True,True,69118,68096,1.0,0.001953190061612986,True,PASS
transition,P002_S002_t2,P002,S002,P002_S002,521.0,654.0,133.0,,,A_to_B,True,True,69118,68096,1.0,0.001953190061612986,True,PASS
transition,P002_S002_t3,P002,S002,P002_S002,870.0,1003.0,133.0,,,B_to_C,True,True,69118,68096,1.0,0.001953190061612986,True,PASS
transition,P003_S001_t1,P003,S001,P003_S001,216.0,349.0,133.0,,,D_to_A,True,True,69033,68096,1.0,0.0019555853214114904,True,PASS
transition,P003_S001_t2,P003,S001,P003_S001,523.0,656.0,133.0,,,A_to_C,True,True,69033,68096,1.0,0.0019555853214114904,True,PASS
transition,P003_S001_t3,P003,S001,P003_S001,855.0,988.0,133.0,,,C_to_B,True,True,69033,68096,1.0,0.0019555853214114904,True,PASS
transition,P004_S001_t1,P004,S001,P004_S001,216.0,349.0,133.0,,,D_to_B,True,True,69021,68096,1.0,0.0019559205902623944,True,PASS
transition,P004_S001_t2,P004,S001,P004_S001,565.0,698.0,133.0,,,B_to_A,True,True,69022,68096,1.0,0.0019559205902623944,True,PASS
transition,P004_S001_t3,P004,S001,P004_S001,857.0,990.0,133.0,,,A_to_C,True,True,69021,68096,1.0,0.0019559205902623944,True,PASS
transition,P005_S001_t1,P005,S001,P005_S001,216.0,349.0,133.0,,,D_to_A,True,True,69022,68096,1.0,0.0019558992062229663,True,PASS
transition,P005_S001_t2,P005,S001,P005_S001,479.0,612.0,133.0,,,A_to_C,True,True,69022,68096,1.0,0.0019558992062229663,True,PASS
transition,P005_S001_t3,P005,S001,P005_S001,793.0,926.0,133.0,,,C_to_B,True,True,69022,68096,1.0,0.0019558992062229663,True,PASS
transition,P006_S001_t1,P006,S001,P006_S001,216.0,349.0,133.0,,,D_to_A,True,True,69036,68096,1.0,0.001955499639734626,True,PASS
transition,P006_S001_t2,P006,S001,P006_S001,523.0,656.0,133.0,,,A_to_C,True,True,69036,68096,1.0,0.001955499639734626,True,PASS
transition,P006_S001_t3,P006,S001,P006_S001,837.0,970.0,133.0,,,C_to_B,True,True,69036,68096,1.0,0.001955499639734626,True,PASS
transition,P007_S001_t1,P007,S001,P007_S001,216.0,349.0,133.0,,,D_to_B,True,True,69118,68096,1.0,0.0019531867001205683,True,PASS
transition,P007_S001_t2,P007,S001,P007_S001,521.0,654.0,133.0,,,B_to_C,True,True,69118,68096,1.0,0.0019531867001205683,True,PASS
transition,P007_S001_t3,P007,S001,P007_S001,853.0,986.0,133.0,,,C_to_A,True,True,69118,68096,1.0,0.0019531867001205683,True,PASS
transition,P007_S002_t1,P007,S002,P007_S002,216.0,349.0,133.0,,,D_to_A,True,True,69028,68096,1.0,0.001955730203917483,True,PASS
transition,P007_S002_t2,P007,S002,P007_S002,508.0,641.0,133.0,,,A_to_B,True,True,69028,68096,1.0,0.0019557302075554617,True,PASS
transition,P007_S002_t3,P007,S002,P007_S002,861.0,994.0,133.0,,,B_to_C,True,True,69028,68096,1.0,0.0019557302075554617,True,PASS
transition,P008_S001_t1,P008,S001,P008_S001,216.0,349.0,133.0,,,D_to_C,True,True,69118,68096,1.0,0.001953187515027821,True,PASS
transition,P008_S001_t2,P008,S001,P008_S001,548.0,681.0,133.0,,,C_to_B,True,True,69118,68096,1.0,0.001953187515027821,True,PASS
transition,P008_S001_t3,P008,S001,P008_S001,846.0,979.0,133.0,,,B_to_A,True,True,69118,68096,1.0,0.001953187515027821,True,PASS
transition,P009_S001_t1,P009,S001,P009_S001,216.0,349.0,133.0,,,D_to_C,True,True,69118,68096,1.0,0.0019531816942617297,True,PASS
transition,P009_S001_t2,P009,S001,P009_S001,548.0,681.0,133.0,,,C_to_B,True,True,69118,68096,1.0,0.0019531816942617297,True,PASS
transition,P009_S001_t3,P009,S001,P009_S001,853.0,986.0,133.0,,,B_to_A,True,True,69117,68096,1.0,0.0019531816942617297,True,PASS
transition,P009_S002_t1,P009,S002,P009_S002,216.0,349.0,133.0,,,D_to_B,True,True,69025,68096,1.0,0.0019558060112103703,True,PASS
transition,P009_S002_t2,P009,S002,P009_S002,569.0,702.0,133.0,,,B_to_C,True,True,69025,68096,1.0,0.0019558060112103703,True,PASS
transition,P009_S002_t3,P009,S002,P009_S002,845.0,978.0,133.0,,,C_to_A,True,True,69025,68096,1.0,0.0019558060112103703,True,PASS
transition,P010_S001_t1,P010,S001,P010_S001,216.0,349.0,133.0,,,D_to_A,True,True,69015,68096,1.0,0.0019560863729566336,True,PASS
transition,P010_S001_t2,P010,S001,P010_S001,523.0,656.0,133.0,,,A_to_B,True,True,69015,68096,1.0,0.0019560863729566336,True,PASS
transition,P010_S001_t3,P010,S001,P010_S001,821.0,954.0,133.0,,,B_to_C,True,True,69015,68096,1.0,0.0019560863729566336,True,PASS
