scenario_type,task,class_name,eligibility_level,configuration_count,eligible_subjects_min,eligible_subjects_p10,eligible_subjects_median,eligible_subjects_p90,eligible_subjects_max,configurations_with_M_lt_3,M_ge_3_pass_rate,scored_class_trials_min,scored_class_trials_median,class_unique_videos_min,class_videos_with_ge3_subjects_min,uniform_trio_acceptance_probability_median,uniform_trio_acceptance_probability_min,expected_resampling_attempts_max_finite
outer_source,arousal,high,minimal_2trials,45,1,2.0,5.0,8.0,10,6,0.8666666666666667,7,17.0,3,0,0.017857142857142856,0.0,560.0
outer_source,arousal,high,strong_2trials_2videos,45,1,2.0,5.0,8.0,10,6,0.8666666666666667,7,17.0,3,0,0.017857142857142856,0.0,560.0
outer_source,arousal,high,weak_1trial,45,5,6.0,10.0,11.0,13,0,1.0,7,17.0,3,0,0.21428571428571427,0.017857142857142856,56.0
outer_source,arousal,low,minimal_2trials,45,0,2.0,3.0,5.0,6,6,0.8666666666666667,8,15.0,4,0,0.0017857142857142857,0.0,560.0
outer_source,arousal,low,strong_2trials_2videos,45,0,2.0,3.0,5.0,6,6,0.8666666666666667,8,15.0,4,0,0.0017857142857142857,0.0,560.0
outer_source,arousal,low,weak_1trial,45,5,6.4,9.0,11.0,13,0,1.0,8,15.0,4,0,0.15,0.017857142857142856,56.0
outer_source,valence,high,minimal_2trials,45,0,1.0,1.0,3.0,3,39,0.13333333333333333,4,10.0,3,0,0.0,0.0,560.0
outer_source,valence,high,strong_2trials_2videos,45,0,1.0,1.0,3.0,3,39,0.13333333333333333,4,10.0,3,0,0.0,0.0,560.0
outer_source,valence,high,weak_1trial,45,4,5.0,8.0,10.0,12,0,1.0,4,10.0,3,0,0.1,0.007142857142857143,140.0
outer_source,valence,low,minimal_2trials,45,2,4.0,7.0,11.0,12,1,0.9777777777777777,14,23.0,4,2,0.0625,0.0,560.0
outer_source,valence,low,strong_2trials_2videos,45,2,4.0,7.0,11.0,12,1,0.9777777777777777,14,23.0,4,2,0.0625,0.0,560.0
outer_source,valence,low,weak_1trial,45,10,11.0,13.0,15.0,16,0,1.0,14,23.0,4,2,0.5107142857142857,0.21428571428571427,4.666666666666667
