repetition,role,region,task,policy,baseline,cell_id,subject_fold,video_fold,raw_test_rows,n,low,high,accuracy,balanced_accuracy,macro_f1,roc_auc,brier
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,S1_V1,1,1,19,18,12,6,0.6666666666666666,0.5,0.4,0.5,0.2426303854875283
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,S1_V2,1,2,9,7,3,4,0.42857142857142855,0.5,0.3,0.5,0.3436734693877551
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,S1_V3,1,3,5,4,4,0,1.0,,,,0.09336419753086421
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,S2_V1,2,1,19,18,13,5,0.7222222222222222,0.5,0.41935483870967744,0.5,0.2011111111111111
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,S2_V2,2,2,6,5,4,1,0.8,0.5,0.4444444444444444,0.5,0.1666015625
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,S2_V3,2,3,8,7,6,1,0.8571428571428571,0.5,0.46153846153846156,0.5,0.18589236248516028
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,S3_V1,3,1,14,7,4,3,0.5714285714285714,0.5,0.36363636363636365,0.5,0.2730218741560896
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,S3_V2,3,2,6,6,4,2,0.6666666666666666,0.5,0.4,0.5,0.22830843518937682
0,primary,joint_primary,valence,discard_midpoint,global_train_prior,S3_V3,3,3,4,3,3,0,1.0,,,,0.11111111111111109
0,primary,joint_primary,valence,discard_midpoint,position_train_prior,S1_V1,1,1,19,18,12,6,0.6666666666666666,0.5,0.4,0.41666666666666663,0.27932098765432095
0,primary,joint_primary,valence,discard_midpoint,position_train_prior,S1_V2,1,2,9,7,3,4,0.42857142857142855,0.5,0.3,0.5,0.37889020070838253
0,primary,joint_primary,valence,discard_midpoint,position_train_prior,S1_V3,1,3,5,4,4,0,0.5,,,,0.154320987654321
0,primary,joint_primary,valence,discard_midpoint,position_train_prior,S2_V1,2,1,19,18,13,5,0.5,0.4076923076923077,0.4109090909090909,0.5615384615384615,0.2655265810027715
