relative_path,category,modality,sampling_rate,channels,data_shape,timestamps_shape
DEJA-VU/preprocessed/clean_P006_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[622572, 4]",[622572]
DEJA-VU/preprocessed/clean_P006_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[364793, 7]",[364793]
DEJA-VU/preprocessed/clean_P006_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[621825, 2]",[621825]
DEJA-VU/preprocessed/clean_P006_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12159, 1]",[12159]
DEJA-VU/preprocessed/clean_P007_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[630505, 4]",[630505]
DEJA-VU/preprocessed/clean_P007_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[369437, 7]",[369437]
DEJA-VU/preprocessed/clean_P007_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[630507, 2]",[630507]
DEJA-VU/preprocessed/clean_P007_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12315, 1]",[12315]
DEJA-VU/preprocessed/clean_P007_S002.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[616427, 4]",[616427]
DEJA-VU/preprocessed/clean_P007_S002.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[361184, 7]",[361184]
DEJA-VU/preprocessed/clean_P007_S002.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[615560, 2]",[615560]
DEJA-VU/preprocessed/clean_P007_S002.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12039, 1]",[12039]
DEJA-VU/preprocessed/clean_P008_S001.h5,preprocessed_hdf5,ecg,512.0,"[""ECG_Lead_I"", ""ECG_Lead_II"", ""ECG_Lead_III"", ""ECG_Chest""]","[645892, 4]",[645892]
DEJA-VU/preprocessed/clean_P008_S001.h5,preprocessed_hdf5,eeg,300.0,"[""FP1"", ""FP2"", ""C3"", ""C4"", ""LE"", ""EOG1"", ""EOG2""]","[378437, 7]",[378437]
DEJA-VU/preprocessed/clean_P008_S001.h5,preprocessed_hdf5,emg,512.0,"[""EMG_Zygomaticus"", ""EMG_Trapezius""]","[645867, 2]",[645867]
DEJA-VU/preprocessed/clean_P008_S001.h5,preprocessed_hdf5,gsr,9.99938968568813,"[""GSR_Conductance""]","[12615, 1]",[12615]
