scheme,subject_folds,video_folds,outer_cells,random_partitions,minimal_pass_rate,strong_pass_rate,raw_empty_cells_rate,min_raw_test_rows_p05,min_raw_test_rows_median,min_raw_test_rows_p95,preferred_valence_both_class_fraction_p05,preferred_valence_both_class_fraction_median,preferred_arousal_both_class_fraction_p05,preferred_arousal_both_class_fraction_median,preferred_valence_min_test_rows_p05,preferred_arousal_min_test_rows_p05,robust_candidate
2x2,2,2,4,1000,0.929,0.023,0.0,13.0,18.0,21.0,0.75,1.0,1.0,1.0,10.0,10.0,True
3x3,3,3,9,1000,0.977,0.528,0.003,2.0,5.0,8.0,0.6666666666666666,0.8888888888888888,0.7777777777777778,1.0,2.0,2.0,True
3x4,3,4,12,1000,0.862,0.35,0.024,1.0,3.0,5.0,0.5,0.75,0.75,0.9166666666666666,1.0,1.0,False
4x3,4,3,12,1000,0.915,0.438,0.011,1.0,3.0,5.0,0.5833333333333334,0.75,0.75,0.9166666666666666,1.0,1.0,False
4x4,4,4,16,1000,0.569,0.029,0.08,0.0,2.0,3.0,0.4375,0.625,0.625,0.75,0.0,0.0,False
