repetition,role,outer_cell,inner_id,held_subject_fold,held_video_fold,train_subject_fold,train_video_fold,validation_subject_fold,validation_video_fold,inner_train_subjects,inner_train_videos,inner_train_rows,inner_validation_subjects,inner_validation_videos,inner_validation_rows,task,label_policy,inner_train_scored,inner_train_low,inner_train_high,inner_train_both_classes,inner_validation_scored,inner_validation_low,inner_validation_high,inner_validation_both_classes,donor_anchor_count,donor_donor_min,donor_donor_p10,donor_donor_median,donor_donor_max,donor_zero_donor_rate,donor_below_5_rate,donor_below_20_rate,donor_unique_subject_min,donor_unique_video_min,donor_unique_quadrant_min,donor_same_quadrant_donor_fraction_median,donor_operational,inner_joint_operational
0,primary,R00_S1_V2,R00_S1_V2_train_S3_V3,1,2,3,3,2,1,4,2,4,8,6,19,arousal,discard_midpoint,4,3,1,True,15,9,6,True,4,0,0.0,0.0,0,1.0,1.0,1.0,0,0,0,,False,False
0,primary,R00_S1_V2,R00_S1_V2_train_S3_V3,1,2,3,3,2,1,4,2,4,8,6,19,arousal,midpoint_as_low,4,3,1,True,19,13,6,True,4,0,0.0,0.0,0,1.0,1.0,1.0,0,0,0,,False,False
0,primary,R00_S1_V2,R00_S1_V2_train_S3_V3,1,2,3,3,2,1,4,2,4,8,6,19,arousal,midpoint_as_high,4,3,1,True,19,9,10,True,4,0,0.0,0.0,0,1.0,1.0,1.0,0,0,0,,False,False
0,primary,R00_S1_V3,R00_S1_V3_train_S2_V1,1,3,2,1,3,2,8,6,19,6,3,6,valence,discard_midpoint,18,13,5,True,6,4,2,True,18,1,2.0,8.0,10,0.0,0.2777777777777778,1.0,1,1,1,0.3333333333333333,True,True
0,primary,R00_S1_V3,R00_S1_V3_train_S2_V1,1,3,2,1,3,2,8,6,19,6,3,6,valence,midpoint_as_low,19,14,5,True,6,4,2,True,19,1,2.0,9.0,11,0.0,0.2631578947368421,1.0,1,1,1,0.3333333333333333,True,True
0,primary,R00_S1_V3,R00_S1_V3_train_S2_V1,1,3,2,1,3,2,8,6,19,6,3,6,valence,midpoint_as_high,19,13,6,True,6,4,2,True,19,2,3.0,8.0,10,0.0,0.21052631578947367,1.0,2,2,1,0.3333333333333333,True,True
0,primary,R00_S1_V3,R00_S1_V3_train_S2_V1,1,3,2,1,3,2,8,6,19,6,3,6,arousal,discard_midpoint,15,9,6,True,6,2,4,True,15,2,2.0,4.0,7,0.0,0.5333333333333333,1.0,2,2,1,0.0,True,True
0,primary,R00_S1_V3,R00_S1_V3_train_S2_V1,1,3,2,1,3,2,8,6,19,6,3,6,arousal,midpoint_as_low,19,13,6,True,6,2,4,True,19,2,2.0,9.0,10,0.0,0.3157894736842105,1.0,2,2,1,0.25,True,True
0,primary,R00_S1_V3,R00_S1_V3_train_S2_V1,1,3,2,1,3,2,8,6,19,6,3,6,arousal,midpoint_as_high,19,9,10,True,6,2,4,True,19,4,4.8,6.0,8,0.0,0.10526315789473684,1.0,2,2,1,0.16666666666666666,True,True
0,primary,R00_S1_V3,R00_S1_V3_train_S2_V2,1,3,2,2,3,1,5,5,6,8,6,14,valence,discard_midpoint,5,4,1,True,7,4,3,True,5,0,0.8,2.0,2,0.2,1.0,1.0,0,0,0,0.5,False,False
